4,succulent,adj.,juicy,pulpy,,,즙이 많은,Aloe is a plant that stores water in its succulent leaves.,알로에는 즙이 많은 잎에 물을 저장하는 식물이다.,
4,homogeneous,adj.,unvarying,akin,,,"동종의, 균질의",The new apartment building is composed of one hundred homogeneous units.,새 아파트 건물은 100개의 균일한 세대로 구성되어 있다.,
4,era,n.,period,epoch,age,,시대,The microchip initiated the era of the personal computer.,마이크로칩은 개인용 컴퓨터 시대를 열었다.,
4,threat,n.,intention to harm,menace,,,"위험, 협박",Rabbits' large ears give them excellent hearing that allows them to detect any threats in their environment.,토끼의 큰 귀는 주변 환경의 어떤 위협도 감지할 수 있는 뛰어난 청력을 제공한다.,
4,foul,v.,pollute,contaminate,,,더럽히다,"During the Industrial Revolution, the smoke from factories fouled the air of many urban areas.",산업혁명 기간 동안 공장에서 나오는 연기는 많은 도시 지역의 공기를 더럽혔다.,
4,prey,n.,victim,,,,희생자,Elderly people are often the prey of phone scams and identity theft.,노인들은 종종 전화 사기와 신원 도용의 희생자가 된다.,
4,practically,adv.,nearly,,,,거의,"By the 1970s, brown pelicans were practically extinct in the US.",1970년대에 갈색 펠리컨은 미국에서 거의 멸종되었다.,
5,presuppose,v.,assume,suppose,presume,,가정하다,High-level chemistry courses presuppose that students have a basic knowledge of chemical structures.,고급 화학 강좌는 학생들이 화학 구조에 관한 기본적인 지식을 가지고 있다고 가정한다.,
5,well-to-do,adj.,wealthy,affluent,rich,,부유한,"In the early days of air travel, flight tickets were so expensive that only well-to-do people could afford them.",비행기 여행의 초창기에는 항공권이 매우 비싸서 부유한 사람들만이 그것을 살 수 있었다.,
5,appeal,v.,plead,request,ask,beg,간청하다,The students appealed to the professor for more time to study for the exam.,학생들은 교수에게 시험을 위해 공부할 시간을 더 달라고 간청했다.,
5,accurately,adv.,correctly,precisely,exactly,,정확하게,Many doctors use electronic thermometers to accurately determine their patients' temperatures.,많은 의사들이 환자의 체온을 정확하게 측정하기 위해 전자 체온계를 사용한다.,
5,fastidious,adj.,demanding,choosy,,,까다로운,The director would film the same scene hundreds of times because he was so fastidious.,그 감독은 매우 까다로워서 같은 장면을 수백 번씩 찍곤 했다.,
5,contraction,n.,reduction,diminution,,,"감소, 축소","For most companies, a contraction in sales can mean a huge loss in revenues.",대부분의 회사에서 매출의 감소는 수익의 큰 손실을 의미할 수 있다.,
5,stimulus,n.,impetus,motivation,incentive,incitement,자극제,Jack's dream of owning a house is a stimulus for him to work hard.,집을 갖고 싶다는 Jack의 꿈은 그가 열심히 일하도록 하는 자극제이다.,
5,track,v.,follow,chase,monitor,,"뒤쫓다, 추적하다",Investigators tracked the criminal to his hideout.,수사관들은 범인을 그의 은신처까지 뒤쫓았다.,
5,tame,v.,domesticate,train,,,길들이다,"According to a recent study, dogs were first tamed in prehistoric Europe.","최근 연구에 따르면, 개는 선사 시대 유럽에서 처음으로 길들여졌다.",
5,install,v.,put in place,set up,position,,설치하다,Many cities have installed radar systems at intersections to discourage reckless driving.,많은 도시들이 난폭 운전을 막기 위해 교차로에 레이더 장치를 설치했다.,
5,chronicle,n.,record,history,,,"기록, 연대기",Anne Frank's diary was a chronicle of her life during the Holocaust.,안네 프랑크의 일기는 유대인 대학살 동안의 자신의 삶에 대한 기록이었다.,
5,novel,adj.,new,innovative,unusual,,"새로운, 신기한",Graphic calculators were highly novel in the 1960s.,그래픽 계산기는 1960년대에 굉장히 새로운 것이었다.,
5,isolated,adj.,remote,solitary,secluded,,외딴,Henry David Thoreau spent years living in an isolated cabin.,헨리 데이비드 소로는 외딴 오두막집에서 몇 년을 살았다.,
5,exposed,adj.,visible,revealed,uncovered,,"드러난, 노출된","In the 19th century, it was considered shocking to see a woman with exposed ankles in public.",19세기에는 공공장소에서 발목이 드러난 여성을 보는 것은 충격적인 것으로 여겨졌다.,
5,intermingled,adj.,mixed,combined,blended,,"섞인, 혼합된",Toss the salad and chill it overnight until the flavors are intermingled.,샐러드를 버무려 맛이 서로 배어들 때까지 하룻밤 동안 냉장 보관해라.,
5,succulent,adj.,juicy,pulpy,,,즙이 많은,Aloe is a plant that stores water in its succulent leaves.,알로에는 즙이 많은 잎에 물을 저장하는 식물이다.,
5,homogeneous,adj.,unvarying,akin,,,"동종의, 균질의",The new apartment building is composed of one hundred homogeneous units.,새 아파트 건물은 100개의 균일한 세대로 구성되어 있다.,
5,era,n.,period,epoch,age,,시대,The microchip initiated the era of the personal computer.,마이크로칩은 개인용 컴퓨터 시대를 열었다.,
5,threat,n.,intention to harm,menace,,,"위험, 협박",Rabbits' large ears give them excellent hearing that allows them to detect any threats in their environment.,토끼의 큰 귀는 주변 환경의 어떤 위협도 감지할 수 있는 뛰어난 청력을 제공한다.,
5,foul,v.,pollute,contaminate,,,더럽히다,"During the Industrial Revolution, the smoke from factories fouled the air of many urban areas.",산업혁명 기간 동안 공장에서 나오는 연기는 많은 도시 지역의 공기를 더럽혔다.,
5,prey,n.,victim,,,,희생자,Elderly people are often the prey of phone scams and identity theft.,노인들은 종종 전화 사기와 신원 도용의 희생자가 된다.,
5,practically,adv.,nearly,,,,거의,"By the 1970s, brown pelicans were practically extinct in the US.",1970년대에 갈색 펠리컨은 미국에서 거의 멸종되었다.,
5,compelling,adj.,convincing,persuasive,cogent,,설득력 있는,The speaker made some compelling arguments against immigration reform.,그 연설자는 이민 개혁에 반대하는 몇 가지 설득력 있는 주장을 펼쳤다.,
5,ultimately,adv.,eventually,finally,in the end,lastly,"마침내, 결국","After submitting his book to numerous publishers, the author ultimately succeeded in getting it published.",그 작가는 자신의 책을 수많은 출판사에 제출한 후에 마침내 그 책을 출판하는 데 성공했다.,
5,bulk,n.,mass,large quantity,great quantity,,"큰 규모, 대량","Buying its supplies in bulk, the department store chain was able to sell for less than its competitors.",대량으로 물품을 구매함으로써 그 백화점 체인점은 경쟁 업체들보다 더 싼 값에 판매할 수 있었다.,
5,bulk,n.,majority,main part,,,대부분,"Although the bulk of the movie was boring, parts of it were funny.","그 영화의 대부분은 지루했지만, 몇 부분은 재미있었다.",
5,incompatible,adj.,in conflict,discrepant,contradictory,,양립할 수 없는,Budget proposals submitted by different political parties are usually incompatible.,다른 정당들에 의해 제출된 예산안들은 대개 양립할 수 없다.,
5,substantially,adv.,significantly,considerably,,,상당히,"In the mid-1800s, the enrollment of females in American schools increased substantially.",1800년대 중반에 미국 학교에서 여성의 입학이 상당히 증가하였다.,
5,substantially,adv.,largely,mainly,,,대체로,Analysts expect the political situation to remain substantially the same over the next few years.,분석가들은 향후 몇 년 동안 정치적 상황이 대체로 같은 상태일 것이라고 예상한다.,
5,seek,v.,look for,search for,pursue,,"찾다, 조사하다",The investigator sought the truth regardless of the consequences.,그 수사관은 그것이 미칠 결과에 상관없이 진실을 조사했다.,
5,seek,v.,attempt,try,essay,,"시도하다, 노력하다",Governments must seek to balance the interests of diverse social groups.,정부는 다양한 사회 집단들의 이해관계가 균형을 이루도록 노력해야 한다.,
5,unanticipated,adj.,not expected,unforeseen,,,예상하지 못한,It is important to save money for unanticipated expenses.,예상하지 못한 지출을 위해 저축하는 것은 중요하다.,
5,merge,v.,combine,blend,fuse,,"합치다, 융합하다",The team members decided to merge their ideas and make the presentation together.,팀원들은 그들의 생각을 합쳐서 발표를 같이하기로 결정했다.,
5,encounter,v.,meet (with),experience,confront,face,"마주치다, 부닥치다",Bill encountered many obstacles that delayed the publication of his book.,Bill은 그의 책의 출판을 지연시키는 많은 장애물과 마주쳤다.,
5,residue,n.,remains,remnant,remainder,,잔여물,Chalky residue on the sole of Vincent's shoe proved that he had recently visited the murder scene.,Vincent의 신발 밑창에 묻어 있는 가루 같은 잔여물은 그가 최근에 살인 현장에 다녀왔다는 것을 증명했다.,
5,circumstance,n.,condition,situation,,,"상황, 환경",There are no circumstances under which rare books are allowed out of the library.,희귀 서적들을 도서관 밖으로 가지고 나갈 수 있는 상황은 절대로 없다.,
5,astonishing,adj.,incredible,amazing,startling,astounding,"놀라운, 눈부신",Estonia's geography is astonishing because of its unusual and diverse mix of landscapes.,에스토니아의 지형은 특이하고 다양한 풍경의 조합 때문에 놀랍다.,
5,intermittently,adv.,occasionally,periodically,from time to time,,간헐적으로,"In eastern North America, it rains intermittently throughout the year.",북미 동부에서는 일 년 내내 간헐적으로 비가 내린다.,
5,application,n.,use,utilization,employment,,"응용, 이용",A microcomputer has a wide range of applications for mobile businesses.,초소형 컴퓨터는 모바일 비즈니스에서 매우 넓은 응용 범위를 가지고 있다.,
5,predominant,adj.,principal,main,primary,leading,"주된, 주요한",Blue is the predominant color in Van Gogh's Starry Night.,파란색은 반 고흐의 '별이 빛나는 밤'의 주된 색상이다.,
5,remote,adj.,distant,secluded,removed,,멀리 떨어진,"While Watson was smoking, George would sit in a remote corner of the garden.","Watson이 담배를 피우는 동안, George는 정원의 멀리 떨어진 구석에 앉아 있곤 했다.",
5,inordinate,adj.,excessive,exorbitant,undue,,과도한,The use of inordinate amounts of pesticide and synthetic fertilizer on crops is against the law.,농작물에 과도한 양의 살충제와 합성 비료를 사용하는 것은 법에 위반된다.,
5,launch,v.,start,begin,initiate,commence,시작하다,The government is planning to launch a major forestry campaign.,정부는 중대한 삼림 관리 캠페인을 시작하려고 계획 중이다.,
5,trend,n.,tendency,inclination,direction,,"경향, 추세",The current trend is towards more part-time employment.,현재 추세는 시간제 고용이 더 많아지는 쪽으로 가고 있다.,
5,embodiment,n.,concrete example,epitome,,,"전형, 구체화된 것",Olympic athletes are often considered to be the embodiment of physical fitness.,올림픽 선수들은 종종 육체적 건강의 전형으로 여겨진다.,
5,colonize,v.,inhabit,populate,,,(동·식물이) 서식하다,Fire ants colonize grasslands whereas carpenter ants tend to live in wooded areas.,왕개미들이 나무가 우거진 지역에서 사는 경향이 있는 반면에 불개미들은 초원 지대에 서식한다.,
5,colonize,v.,conquer,,,,식민지화하다,The Spanish were the first Europeans to colonize America.,스페인 사람들은 미국을 식민지화한 첫 유럽인이었다.,
5,affect,v.,influence,impact,act on,,영향을 미치다,The scientists are currently studying how climate affects marine animal populations.,과학자들은 기후가 해양 동물 개체수에 어떻게 영향을 미치는지 현재 연구 중이다.,
5,speculation,n.,supposition,conjecture,surmise,,추측,There was much speculation in the office as to who the new employee would be.,사무실에는 새 직원이 누가 될지에 대한 많은 추측이 있었다.,
5,compound,v.,add to,intensify,worsen,,"(정도를) 더하다, 악화시키다",The doctor said that scratching an insect bite would only compound the itchiness.,의사는 곤충에게 물린 곳을 긁으면 가려움증이 악화될 뿐이라고 말했다.,
5,fascinating,adj.,extremely attractive,captivating,enthralling,,매혹적인,Jackson Pollock's paintings are characterized by fascinating combinations of colors and shapes.,잭슨 폴록의 그림들은 색상과 형태의 매혹적인 조합이 특징이다.,
5,constellation,n.,collection,combination,group,,"(유사한 것들의) 모임, 무리",Jerusalem is a city that is known for its constellation of cultures.,예루살렘은 문화의 모임으로 알려진 도시이다.,
5,unconsolidated,adj.,loose,incoherent,,,굳지 않은,Erosion rates are highest in places with unconsolidated soil.,침식률은 굳지 않은 토양이 있는 곳에서 가장 높다.,
5,outstanding,adj.,excellent,remarkable,prominent,,뛰어난,The writer's speech was so outstanding that years later people still quote from it.,그 작가의 연설은 너무 뛰어나서 수년이 지난 후에도 사람들은 여전히 그것을 인용한다.,
5,outstanding,adj.,unpaid,unsettled,owing,,"미지불의, 처리되지 않은",Susan has quite a few outstanding debts this month.,수잔은 이번 달에 미지불된 부채가 꽤 많다.,
5,outcome,n.,result,consequence,conclusion,,결과,The researchers were surprised by the outcome of the psychology experiment.,연구원들은 심리 실험 결과에 놀랐다.,
5,document,n.,record,report,paper,,"문서, 기록",The archaeologists found ancient documents in a cave in the desert.,고고학자들은 사막에 있는 동굴에서 고대 문서를 발견했다.,
5,intrinsically,adv.,fundamentally,essentially,,,본질적으로,"Unlike money, gold and diamonds are considered to be intrinsically valuable.",돈과 달리 금과 다이아몬드는 본질적으로 가치 있는 것으로 여겨진다.,
5,disputatious,adj.,contentious,argumentative,quarrelsome,,논쟁을 좋아하는,The disagreement got heated quickly because both people involved were highly disputatious.,관련된 두 사람 모두 매우 논쟁을 좋아했기 때문에 의견 불일치가 빠르게 가열되었다.,
5,diverse,adj.,varied,various,manifold,dissimilar,"다양한, 다른",Russell's genius lies in getting people of diverse backgrounds to work together.,러셀의 천재성은 다양한 배경을 가진 사람들이 함께 일하도록 만드는 데 있다.,
5,eerie,adj.,odd,strange,,,기묘한,The book 1984 was an eerie prediction of the future.,소설 1984는 미래에 대한 기묘한 예견이었다.,
5,tenuous,adj.,weak,insubstantial,,,빈약한,Germany provided a tenuous justification for its invasion of Poland in 1939.,독일은 1939년 폴란드 침공에 대해 빈약한 명분을 제공했다.,
5,eradicate,v.,(completely) remove,root up,extirpate,eliminate,근절하다,The US spends $50 billion per year trying to eradicate drug use.,미국은 마약 사용을 근절하기 위해 연간 500억 달러를 지출한다.,
5,prone to,phr.,susceptible to,likely to get,,,~하기 쉬운,Young children are prone to illness because their immune systems are not well developed.,어린 어린이들은 면역 체계가 잘 발달되지 않아 질병에 걸리기 쉽다.,
5,lodge,v.,embed,implant,,,"박다, 박히다",The meteor flew in from outer space and lodged in the rock.,유성이 우주 공간에서 날아와 바위에 박혔다.,
5,gather momentum,phr.,make progress,gain impetus,,,탄력이 붙다,"Business at the new book shop was slow at first, but soon it started to gather momentum.",새 서점의 사업은 처음에는 부진했으나 곧 탄력이 붙기 시작했다.,
5,viable,adj.,able to survive,,,,생존 가능한,A fetus is considered viable after it has endured 20 weeks inside the womb.,태아는 자궁 안에서 20주를 견제한 후 생존 가능하다고 여겨진다.,
5,impediment,n.,obstacle,obstruction,barrier,,장애물,"If Ben puts his mind to something, no impediment can stop him from reaching his goals.",벤이 어떤 일에 마음을 먹으면 어떤 장애물도 그가 목표에 도달하는 것을 막을 수 없다.,
5,arid,adj.,dry,barren,sterile,waterless,메마른,"To perform a construction project in an arid desert, a great amount of water is needed.",메마른 사막에서 건설 프로젝트를 수행하려면 많은 양의 물이 필요하다.,
5,credible,adj.,believable,reliable,plausible,,믿을 수 있는,Internet websites are not always credible sources of information.,인터넷 웹사이트가 항상 믿을 수 있는 정보원인 것은 아니다.,
5,vacate,v.,abandon,evacuate,void,,"떠나다, 비우다",The typhoon forced residents to vacate the area near the coast.,태풍으로 인해 주민들은 해안 근처 지역을 떠나야 했다.,
5,cushion,v.,protect,buffer,,,"보호하다, 충격을 완화하다",Exercise shoes have a layer of foam that cushions the foot from the impact of running.,운동화에는 달리기 충격으로부터 발을 보호해 주는 발포 고무층이 있다.,
5,peculiar,adj.,unique,distinct,particular,,"특유의, 독특한",The idiomatic expression is peculiar to the British dialect of the English language.,그 관용적 표현은 영어의 영국 방언 특유의 표현이다.,
5,peculiar,adj.,strange,unusual,odd,,이상한,The zoologists were puzzled by the animal's peculiar behavior.,동물학자들은 그 동물의 이상한 행동에 어리둥절했다.,
5,attributable to,phr.,caused by,ascribable to,,,~에 기인하는,The World Health Organization stated that 12 percent of global deaths is attributable to smoking.,세계보건기구는 전 세계 사망의 12%가 흡연에 기인한다고 밝혔다.,
5,enact,v.,make into law,establish,pass,adopt,(법률 등을) 제정하다,The civil rights movement pressured Congress to enact a new law in 1964.,시민권 운동은 1964년에 의회가 새로운 법을 제정하도록 압력을 가했다.,
5,stratified,adj.,layered,,,,층으로 이루어진,Stratified rock helps geologists determine the age of geological deposits.,층으로 이루어진 암석은 지질학자들이 지질 침전물의 연대를 알아내는 데 도움을 준다.,
5,with regard to,phr.,in terms of,with respect to,concerning,,~에 관하여,Stricter regulations with regard to genetically modified foods are being considered.,유전자 변형 식품에 관하여 더 엄격한 규제가 고려되고 있다.,
5,turbulent,adj.,violent,agitated,tumultuous,,격동하는,The increase in civil wars around the world is a sign of our turbulent times.,세계 곳곳에서 일어나는 내전의 증가는 격동하는 우리 시대의 징후이다.,
5,appraisal,n.,evaluation,assessment,estimation,,평가,Employees are given formal appraisals every six months.,직원들은 6개월마다 공식적인 평가를 받는다.,
5,erroneous,adj.,wrong,incorrect,mistaken,FALSE,잘못된,All of the team agreed that it was an erroneous conclusion.,팀 전원은 그것이 잘못된 결론이라는 데 동의했다.,
5,proponent,n.,supporter,advocate,adherent,partisan,지지자,Huxley's grandfather was a famous biologist and proponent of Darwin's theories.,헉슬리의 할아버지는 유명한 생물학자이자 다윈 이론의 지지자였다.,
5,absolute,adj.,unqualified,complete,utter,,"절대적인, 완전한",Mr. Jones developed a worldwide reputation as an absolute expert in his field of study.,존스 씨는 그의 학문 분야에서 절대적인 전문가로서 세계적인 명성을 얻었다.,
5,gratify,v.,satisfy,please,,,"만족시키다, 기쁘게 하다","With its new and unique sound, Beethoven's symphony gratified audiences in Vienna.",베토벤의 교향곡은 새롭고 독특한 소리로 비엔나의 청중들을 만족시켰다.,
6,disperse,v.,scatter,dissipate,spread,disseminate,흩어지게 하다,The smoke from the fire was rapidly dispersed by the strong winds.,화재에서 발생한 연기는 강한 바람에 의해 빠르게 흩어졌다.,
6,adjacent,adj.,nearby,neighboring,adjoining,,인접한,"In addition to the World Trade Center, adjacent buildings were damaged on 9/11.",세계 무역 센터뿐만 아니라 인접한 건물들도 9.11 테러 때 훼손되었다.,
6,sequence,n.,progression,series,string,succession,연속,A sequence of political events in the West caused war to break out.,서양에서 일어난 정치적 사건들의 연속은 전쟁의 발발을 야기했다.,
6,sequence,n.,order,,,,순서,The sequence of the dance steps should be followed exactly.,댄스 스텝의 순서는 정확히 따라야 한다.,
6,detect,v.,discover,find,identify,recognize,"발견하다, 인지하다",The scientists detected a trace of toxic chemicals in the city's water supply.,과학자들은 도시의 상수도에서 유독성 화학물질의 흔적을 발견했다.,
6,flexible,adj.,pliable,bendable,adaptable,adjustable,"유연한, 적응성 있는",The tongue is a flexible organ that helps produce a wide variety of sounds.,혀는 매우 다양한 소리를 내는 데 도움을 주는 유연한 기관이다.,
6,surpass,v.,exceed,outrun,be higher than,excel,능가하다,The student's art project surpassed the teacher's expectation.,그 학생의 미술 프로젝트는 교사의 기대를 능가했다.,
6,invariable,adj.,constant,consistent,unchanging,,변함없는,There has been an invariable struggle for justice in Cuba since the 1950s.,1950년대 이래로 쿠바에서는 정의를 위한 변함없는 투쟁이 있었다.,
6,dramatic,adj.,striking,significant,impressive,,"극적인, 인상적인",Alaska has dramatic changes in temperature throughout the year.,알래스카는 일 년 내내 기온에 극적인 변화가 있다.,
6,master,v.,learn thoroughly,learn,acquire,,습득하다,"Amanda has mastered several languages, including French and German.",Amanda는 프랑스어와 독일어를 포함해 여러 가지 언어를 습득했다.,
6,master,v.,control,manage,,,제어하다,Chris mastered his fear of water and eventually became a good swimmer.,Chris는 물에 대한 공포를 제어했고 마침내 훌륭한 수영 선수가 되었다.,
6,assimilate,v.,absorb,take in,digest,,"(지식 등을) 흡수하다, 이해하다",The research indicates that the human mind can assimilate languages most rapidly before the age of seven.,그 연구는 인간의 정신이 7세 이전에 언어를 가장 빨리 흡수할 수 있다는 것을 보여준다.,
6,overwhelming,adj.,powerful,enormous,compelling,tremendous,압도적인,"Due to the overwhelming evidence, the jury convicted the man of the crime.",압도적인 증거 때문에 배심원단은 남자에게 그 범죄에 대한 유죄 판결을 내렸다.,
6,curious,adj.,inquisitive,questioning,inquiring,,호기심이 강한,A child who is curious about the world will often do well in school.,세상에 대한 호기심이 강한 아이는 보통 학업에 뛰어나다.,
6,curious,adj.,strange,mysterious,extraordinary,,이상한,The Bermuda Triangle is believed to be the site of many curious events.,버뮤다 삼각지대는 이상한 사건들이 많이 일어나는 장소로 여겨진다.,
6,alteration,n.,change,modification,,,"변화, 수정",The tailor made an alteration to Kelly's wedding dress allowing it to drape more loosely about her shoulders.,재단사는 Kelly의 어깨에 더 느슨하게 드리워지도록 그녀의 웨딩드레스에 변화를 주었다.,
6,consequence,n.,result,effect,ramification,outcome,결과,The economic depression in the US was unique in its consequences.,미국의 경제 불황은 그 결과적 측면에서 독특했다.,
6,consequence,n.,importance,significance,,,중요성,Electing a president is a decision of great consequence for a country.,대통령을 선출하는 것은 국가에서 굉장한 중요성을 갖는 결정이다.,
6,deceive,v.,mislead,delude,cheat,,속이다,The company was accused of engaging in a deliberate effort to deceive its shareholders.,그 회사는 주주들을 속이려는 의도적인 활동에 가담한 것으로 기소되었다.,
6,ample,adj.,sizable,large,spacious,vast,"넓은, 광대한",The backyard of the house has ample room for a swimming pool and a large garden.,그 집의 뒷마당에는 수영장과 큰 정원을 위한 넓은 공간이 있다.,
6,ample,adj.,plentiful,abundant,more than enough,,풍부한,Richard stocks his refrigerator with an ample supply of food and beverages for unexpected guests.,Richard는 예상치 못한 손님에 대비해 냉장고 안에 풍부한 양의 음식과 음료를 채워 둔다.,
6,resilient,adj.,quick to recover,easy to recover,,,금방 회복하는,"After injury, young people are usually more resilient than old people.",부상 후에 젊은 사람들이 보통 나이 든 사람들보다 더 금방 회복한다.,
6,detach,v.,separate,disconnect,disengage,,분리하다,The inner lining of the coat can be detached to make the coat less bulky.,코트의 부피를 줄이기 위해서 그 코트의 안감은 분리될 수 있다.,
6,account,n.,description,report,narrative,,"(사건 등에 대한) 기술, 보고",John Reed wrote a famous account of the Russian Revolution.,존 리드는 러시아 혁명에 관한 유명한 기술서를 썼다.,
6,equilibrium,n.,balance,symmetry,,,균형,A market is considered to be stable when supply and demand are in equilibrium.,시장은 공급과 수요가 균형 상태에 있을 때 안정적이라고 여겨진다.,
6,surmise,v.,infer,guess,speculate,suspect,추측하다,"Without any hard evidence to rely upon, researchers can only surmise how the death of King Tutankhamen occurred.","어떤 신뢰할 만한 확실한 근거가 없기 때문에, 연구자들은 투탕카멘 왕의 죽음이 어떻게 일어났는지 추측만 할 수 있을 뿐이다.",
6,unsuitable,adj.,inappropriate,unfit,improper,,적합하지 않은,Films that are rated R are unsuitable for children under the age of 17.,R등급이 매겨진 영화는 17세 미만의 아이들에게 적합하지 않다.,
6,imaginative,adj.,creative,inventive,original,,창의적인,Imaginative people often find unconventional solutions to difficult problems.,창의적인 사람들은 종종 어려운 문제에 대한 색다른 해결책을 찾아낸다.,
6,imposing,adj.,impressive,striking,,,인상적인,The Empire State Building is an imposing structure situated in the heart of New York City.,엠파이어 스테이트 빌딩은 뉴욕 시의 심장부에 위치한 인상적인 건축물이다.,
6,vitality,n.,energy,liveliness,vigor,,활력,A person's vitality is affected by what he or she eats and how much sleep he or she gets.,사람의 활력은 그가 무엇을 먹는지와 얼마나 수면을 많이 취하는지에 영향을 받는다.,
6,vehicle,n.,means,medium,instrument,,"수단, 매체","In democracies, voting is the primary vehicle for social change.",민주주의에서 투표는 사회적 변화를 위한 주된 수단이다.,
6,hitherto,adv.,previously,so far,until now,,지금까지,The rose bushes that had hitherto looked dead suddenly produced flowers.,지금까지 죽은 것처럼 보였던 장미 덤불이 갑자기 꽃을 피웠다.,
6,plague,v.,cause a problem for,bother,annoy,,괴롭히다,"Frequent delays plagued the construction project, but finally it was completed.","잦은 지연이 그 건설 프로젝트를 괴롭혔지만, 그것은 결국 완성되었다.",
6,domain,n.,area,field,,,"영역, 분야","In the domain of art, nobody is more famous than Leonardo da Vinci.",예술의 영역에서는 레오나르도 다빈치보다 더 유명한 사람은 없다.,
6,indifferent,adj.,uninterested,unconcerned,careless,,무관심한,Many of Thomas Edison's inventions did not succeed because the public was indifferent.,토머스 에디슨의 발명품 중 많은 것들은 대중들이 무관심했기 때문에 성공하지 못했다.,
6,champion,v.,support,promote,advocate,endorse,옹호하다,John Dewey championed the idea that students should actively participate in the learning process.,존 듀이는 학생들이 학습 과정에 적극적으로 참여해야 한다는 생각을 옹호했다.,
6,deteriorate,v.,get worse,degenerate,,,악화되다,"My grandmother's health deteriorated last year, but she's much better now.",작년에 할머니의 건강이 악화되었지만 지금은 많이 나아지셨다.,
6,assault,v.,attack,aggress,assail,,"폭행하다, 공격하다",John was arrested last night because he assaulted his neighbor during a noise dispute.,John은 소음 때문에 논쟁을 하다가 이웃을 폭행해서 어젯밤에 구속되었다.,
6,appropriate,adj.,suitable,proper,applicable,,적절한,Brittany's clothes were not appropriate for a job interview.,Brittany의 옷은 취업 면접용으로 적절하지 않았다.,
6,adept,adj.,skillful,proficient,deft,adroit,능숙한,The restaurant's new chef is adept at preparing both Italian and French cuisine.,그 식당의 새 요리사는 이탈리아 요리와 프랑스 요리 둘 다 조리하는 데 능숙하다.,
6,indeed,adv.,in truth,in fact,,,사실,"Indeed, technological innovations have dramatically reduced the demand for manual labor.","사실, 기술 혁신은 육체 노동의 수요를 급격하게 감소시켰다.",
6,pursuit,n.,interest,pastime,hobby,,"취미, 오락",Pursuits such as playing cards or reading books can prevent dementia in the elderly.,카드놀이나 독서 같은 취미는 노인들이 치매에 걸리는 것을 예방할 수 있다.,
6,incite,v.,stimulate,provoke,inflame,spur,"자극하다, 부추기다",The love poem incited Todd's emotions and he asked his girlfriend to marry him.,"그 연애시는 Todd의 감정을 자극했고, 그는 여자친구에게 청혼했다.",
6,guarantee,v.,ensure,secure,warrant,,보장하다,The linking of medical institutions will guarantee better health care systems.,의료 기관들의 연계는 더 나은 보건 제도를 보장할 것이다.,
6,prosperity,n.,economic well-being,wealth,fortune,,번영,"In the 1800s, economic freedom brought the US great prosperity.",1800년대에는 경제적 자유가 미국에 큰 번영을 가져왔다.,
6,primarily,adv.,mostly,mainly,chiefly,,주로,Members of the country club were primarily wealthy old men.,컨트리 클럽의 회원들은 주로 부유한 나이 많은 남성들이었다.,
6,primarily,adv.,originally,at first,initially,,"원래, 처음에",The Republican Party was primarily created to stop the spread of slavery.,공화당은 원래 노예 제도의 확산을 막기 위해 만들어졌다.,
6,erupt,v.,explode,burst,blow up,,폭발하다,"In 1980, Mount St. Helens erupted and destroyed the surrounding forest.",1980년에 세인트 헬렌스 산이 폭발해서 인근의 숲을 파괴했다.,
6,trace,n.,evidence,vestige,imprint,mark,"자취, 흔적",The results of the blood test showed traces of an illegal drug in the patient's blood.,혈액 검사 결과는 환자의 혈액에서 불법적인 약물의 흔적을 보여주었다.,
6,prestigious,adj.,highly regarded,esteemed,respected,,명성이 있는,Harvard University is one of the most prestigious colleges in North America.,하버드 대학교는 북미에서 가장 명성이 있는 대학 중 하나이다.,
6,shape,v.,affect,form,influence,,(영향을 미쳐) 형성하다,Experiences that occur during childhood can shape a person's personality.,유년기에 일어나는 경험들은 한 사람의 성격을 형성할 수 있다.,
6,inflict,v.,cause,modify,exact,,"(고통 등을) 주다, 가하다",Harsh weather can inflict serious damage on fruit crops.,혹독한 날씨는 유실 작물에 심각한 피해를 줄 수 있다.,
6,portion,n.,part,segment,fragment,,부분,"Some portions of the massive sculpture are made of metal, while others are made of stone.","그 거대한 조각상의 어떤 부분은 금속으로 만들어졌는데, 다른 부분들은 석재로 만들어졌다.",
6,coincidence,n.,chance happening,,,,우연의 일치,"According to the police, the suspect's presence during the robbery was a coincidence.",경찰에 따르면 강도 사건이 일어났을 때 그곳에 용의자가 있었던 것은 우연의 일치였다.,
6,propel,v.,push,force,drive,impel,"몰아대다, 추진하다",The store's security guard propelled the unruly customer out the door.,그 상점의 경비는 제멋대로인 고객을 문 밖으로 몰아냈다.,
6,thoroughly,adv.,completely,entirely,,,"철저히, 완전히",The professor covered the collapse of the Mayan civilization thoroughly in class.,교수는 수업 시간에 마야 문명의 멸망에 대해 철저히 다루었다.,
6,contemplate,v.,consider,ponder,,,곰곰이 생각하다,John accepted a teaching position in Vancouver while he contemplated the future.,John은 미래에 대해 곰곰이 생각하면서 밴쿠버에서의 교직을 받아들였다.,
6,unethical,adj.,improper,immoral,,,비윤리적인,The students protested against the unethical treatment of animals by researchers.,학생들은 연구원들의 동물에 대한 비윤리적인 취급에 항의했다.,
